# Easting [m] 	 Northing [m] 	 Period [s] 	 Phase velocity [m/s] 	 Differenz [m/s] 	 Anzahl Iterationen
-123	46	0.1	2990.64	6.39993e-05	11
-123	46	5	3099.38	1.81899e-12	10
-123	46	10	3233.52	5.35143e-05	9
-123	46	20	3541.37	6.13169e-06	7
-123	46	40	3828.54	3.17364e-08	5
-123	47	0.1	2930.66	6.36635e-05	23
-123	47	5	3058.61	2.77487e-09	9
-123	47	10	3218.87	1.36424e-12	7
-123	47	20	3522.93	1.67697e-08	7
-123	47	40	3843.93	1.68257e-11	5
-123	48	0.1	2791.11	6.4212e-05	25
-123	48	5	3064.31	1.36424e-12	6
-123	48	10	3184.13	1.09139e-11	7
-123	48	20	3477.28	1.29248e-08	7
-123	48	40	3846.37	1.75047e-06	6
-123	49	0.1	3085.35	6.99487e-05	24
-123	49	5	3195.48	5.00222e-12	7
-123	49	10	3294.17	4.09273e-12	10
-123	49	20	3527.96	2.27374e-12	7
-123	49	40	3857.12	4.00178e-11	10
-122	38	0.1	2218.64	9.46088e-05	26
-122	38	5	2874.67	1.55051e-08	6
-122	38	10	3147.5	1.36424e-12	5
-122	38	20	3734.56	3.18323e-11	6
-122	38	40	3839.96	8.92457e-05	8
-122	39	0.1	2374.37	5.85382e-05	22
-122	39	5	2963.38	4.75097e-08	9
-122	39	10	3179.79	2.22826e-11	5
-122	39	20	3621.07	9.77348e-06	5
-122	39	40	3815.37	2.22576e-05	2
-122	40	0.1	2963.64	3.16093e-05	23
-122	40	5	3084.32	3.40491e-06	6
-122	40	10	3223.91	8.82101e-08	5
-122	40	20	3514.23	6.35894e-07	7
-122	40	40	3800.38	2.38742e-10	7
-122	41	0.1	2969.75	5.44814e-05	24
-122	41	5	3099.85	1.60044e-08	9
-122	41	10	3231.06	5.91172e-12	5
-122	41	20	3469.25	4.09273e-12	7
-122	41	40	3812.37	5.9944e-06	6
-122	42	0.1	3052.58	5.02105e-05	25
-122	42	5	3149.36	2.27374e-12	6
-122	42	10	3239.26	7.76799e-09	9
-122	42	20	3458.8	2.49714e-06	7
-122	42	40	3824.54	6.82121e-12	10
-122	43	0.1	3100.51	6.20858e-05	23
-122	43	5	3149.77	8.22338e-08	7
-122	43	10	3217.07	1.27329e-11	5
-122	43	20	3435.84	7.83633e-05	8
-122	43	40	3786.32	1.36424e-11	7
-122	44	0.1	3079.62	5.52129e-05	23
-122	44	5	3123.17	1.61102e-07	5
-122	44	10	3222.95	5.71652e-07	10
-122	44	20	3489.32	2.7575e-07	7
-122	44	40	3796.59	5.47439e-08	5
-122	45	0.1	2958.66	5.42193e-05	24
-122	45	5	3069.75	5.88569e-07	4
-122	45	10	3240.99	3.18323e-12	6
-122	45	20	3497.51	2.56432e-07	7
-122	45	40	3794.94	3.53896e-07	7
-122	46	0.1	2851.06	5.22473e-05	24
-122	46	5	3005.07	1.36424e-12	10
-122	46	10	3240.6	4.39013e-09	7
-122	46	20	3540.3	1.36424e-12	6
-122	46	40	3819.38	5.00222e-12	10
-122	47	0.1	2850.76	8.98611e-05	23
-122	47	5	3004.79	1.36424e-12	10
-122	47	10	3221.96	8.04897e-05	7
-122	47	20	3528.32	3.63798e-12	7
-122	47	40	3841.21	1.22782e-11	10
-122	48	0.1	3023.13	9.52938e-05	23
-122	48	5	3126.98	8.48154e-05	6
-122	48	10	3242.69	6.7126e-05	7
-122	48	20	3502.04	1.36424e-12	7
-122	48	40	3837.26	3.675e-08	9
